grid_x,grid_y,layer,direction,x,y
13140.0,600.0,center,,13140.908000000003,593.5680000000001
12990.0,90.0,center,,12990.908000000003,93.56800000000003
12885.0,285.0,center,,12880.908000000003,283.56800000000004
12885.0,600.0,center,,12880.908000000003,593.5680000000001
4890.0,720.0,center,,4885.109000000001,720.4960000000002
5040.0,720.0,center,,5035.109000000001,720.4960000000002
4890.0,885.0,center,,4885.109000000001,880.4960000000002
5040.0,885.0,center,,5035.109000000001,880.4960000000002
4320.0,960.0,center,,4326.809000000001,960.4960000000002
4170.0,960.0,center,,4176.809000000001,960.4960000000002
4890.0,1035.0,center,,4885.109000000001,1040.4960000000003
5040.0,1035.0,center,,5035.109000000001,1040.4960000000003
4620.0,885.0,center,,4625.109000000001,880.4960000000002
4770.0,885.0,center,,4775.109000000001,880.4960000000002
4620.0,1035.0,center,,4625.109000000001,1040.4960000000003
4770.0,1035.0,center,,4775.109000000001,1040.4960000000003
4065.0,960.0,center,,4066.809000000001,960.4960000000002
4065.0,1275.0,center,,4066.809000000001,1280.4960000000003
3615.0,1125.0,center,,3618.509000000001,1120.4960000000003
3465.0,1125.0,center,,3468.509000000001,1120.4960000000003
3915.0,960.0,center,,3916.809000000001,960.4960000000002
3210.0,1125.0,center,,3208.509000000001,1120.4960000000003
3915.0,1275.0,center,,3916.809000000001,1280.4960000000003
3360.0,1125.0,center,,3358.509000000001,1120.4960000000003
3105.0,795.0,center,,3101.9090000000006,800.4960000000002
3255.0,795.0,center,,3251.9090000000006,800.4960000000002
3510.0,795.0,center,,3511.909000000001,800.4960000000002
3360.0,795.0,center,,3361.909000000001,800.4960000000002
4890.0,1200.0,center,,4885.109000000001,1200.4960000000003
5040.0,1200.0,center,,5035.109000000001,1200.4960000000003
4320.0,1275.0,center,,4326.809000000001,1280.4960000000003
4170.0,1275.0,center,,4176.809000000001,1280.4960000000003
4890.0,1365.0,center,,4885.109000000001,1360.4960000000003
5040.0,1365.0,center,,5035.109000000001,1360.4960000000003
4620.0,1200.0,center,,4625.109000000001,1200.4960000000003
4770.0,1200.0,center,,4775.109000000001,1200.4960000000003
4620.0,1365.0,center,,4625.109000000001,1360.4960000000003
4770.0,1365.0,center,,4775.109000000001,1360.4960000000003
4620.0,720.0,center,,4625.109000000001,720.4960000000002
4770.0,720.0,center,,4775.109000000001,720.4960000000002
5040.0,75.0,center,,5035.109000000001,80.49600000000002
